Ticker,Name,Exchange
A,Agilent Technologies,NYSE
AA,Alcoa Inc.,NYSE
AAN,Aaron's Inc,NYSE
AAT,American Assets Trust,NYSE
AAV,Advantage Oil & Gas Ltd,NYSE
AB,Alliance Capital Management L.P.,NYSE
ABB,Abb Ltd,NYSE
ABBV,Abbvie Inc. Common Stock,NYSE
ABC,Amerisourcebergen Corporation,NYSE
ABM,Abm Industries Incorporated,NYSE
ABR,Arbor Realty Trust,NYSE
ABR-PA,Arbor Realty Trust Preferred Se,NYSE
ABR-PB,Arbor Realty Trust Cumulative R,NYSE
ABT,Abbot Laboratories,NYSE
ABV,Companhia De Bebidas - Ambev,NYSE
ABV.C,Companhia De Bebidas - Ambev,NYSE
ABW-PB,Associated Banc-Corp Depositary,NYSE
ABX,Barrick Gold Corp.,NYSE
ACE,Ace Limited,NYSE
ACG,Alliancebernstein Income Fund Inc,NYSE
ACH,Aluminum Corporation of China Ltd.,NYSE
ACI,Arch Coal,NYSE
ACM,Aecom Technology Corp.,NYSE
ACMP,Access Midstream Partners L.P.,NYSE
ACN,Accenture Plc.,NYSE
ACO,Amcol International Corp.,NYSE
ACP,Avenue Income Credit Strategies,NYSE
ACRE,Ares Commercial Real Estate Cor,NYSE
ACT,Actavis Inc.,NYSE
ACTV,Active Network Inc,NYSE
ACW,Accuride Corporation New,NYSE
ADC,Agree Realty Corp.,NYSE
ADM,Archer-Daniels-Midland Company,NYSE
ADS,Alliance Data Systems Corp.,NYSE
ADT,Adt Corporation Common Stock W,NYSE
ADX,Adams Express Company,NYSE
AEB,Aegon Express Company,NYSE
AEC,Associated Estates Realty Corp.,NYSE
AED,Aegon Nv,NYSE
AEE,Ameren Corp.,NYSE
AEF,Aegon Nv,NYSE
AEG,Aegon Nv,NYSE
AEH,Aegon Nv,NYSE
AEK,Aegon N.V. 8.00%,NYSE
AEL,American Equity Investment Life,NYSE
AEM,Agnico-Eagle Mines Limited,NYSE
AEO,American Eagle Outfitters,NYSE
AEP,American Electric Power Company,NYSE
AER,Aercap Holdings N.V.,NYSE
AES,The Aes Corp.,NYSE
AES-PC,AES Corporation Class C P,NYSE
AET,Aetna Inc.,NYSE
AEV,Aegon Nv,NYSE
AF,Astoria Financial Corp.,NYSE
AFA,American Financial Group Inc.,NYSE
AFB,Alliance National Municipal,NYSE
AFC,Allied Capital Corp.,NYSE
AFG,American Financial Group,NYSE
AFL,Aflac Incorporated,NYSE
AFM,Affiliated Managers Group Inc,NYSE
AFQ,American Financial Group,NYSE
AFSD,Aflac Incorporated,NYSE
AFT,Apollo Senior Floating Rate Fund Inc.,NYSE
AFW,American Financial Group Inc.,NYSE
AG,First Majestic Silver,NYSE
AGC,Advent Claymore Convertible Securities,NYSE
AGCO,Agco Corp.,NYSE
AGD,Alpine Global Dynamic Dividend Fund,NYSE
AGI,Alamos Gold Inc.,NYSE
AGM,Federal Agricultural Mortgage Corp.,NYSE
AGM-A,Federal Agricultural Mortgage,NYSE
AGM.A,Federal Agricultural Mortgage Corp.,NYSE
AGN,Allergan,NYSE
AGO,Assured Guaranty Ltd,NYSE
AGO-PF,Assured Guaranty Ltd [B],NYSE
AGO-E,Assured Guaranty Ltd [E],NYSE
AGO-F,Assured Guaranty Ltd [F],NYSE
AGRO,Adecoagro S.A.,NYSE
AGU,Agrium Inc.,NYSE
AH,Accretive Health,NYSE
AHC,A.H. Belo Corp.,NYSE
AHH,Armada Hoffler Properties Inc.,NYSE
AHL,Aspen Insurance Holdings,NYSE
AHL-PA,Aspen Insurance Holdings Limite,NYSE
AHL-PC,Aspen Insurance Holdings Limite,NYSE
AHL-C,Aspen ins Pfd Inc,NYSE
AHS,Amn Healthcare Services Inc,NYSE
AHT,Ashford Hospitality Trust Inc,NYSE
AHT-PA,Ashford Hospitality Trust Inc 8,NYSE
AHT-PD,Ashford Hospitality Trust Inc 8,NYSE
AI,Arlington Asset Investment Corp,NYSE
AIB,Apollo Investment Corporation,NYSE
AIF,Apollo Tactical Income Fund Inc,NYSE
AIG,American International Group,NYSE
AIG-WT,American International Group,NYSE
AIN,Albany International Corp.,NYSE
AIR,Aar,NYSE
AIT,Applied Industrial Technologies,NYSE
AIV,Apartment Investment And Management,NYSE
AIV-Z,Aparment Inv. & Mgt. Co.,NYSE
AIW,Arlington Asset Investment Cor,NYSE
AIY,Apollo Investment Corporation,NYSE
AIZ,Assurant,NYSE
AJG,Arthur J. Gallagher & Co.,NYSE
AKO.A,Embotell Andina Sa A,NYSE
AKO.B,Embotell Andina Sa B,NYSE
AKP,Alliance California Muni,NYSE
AKR,Acadia Realty Trust,NYSE
AKS,Ak Steel Holding Corp.,NYSE
AL,Air Lease Corporation Class A C,NYSE
ALB,Albemarle Corp.,NYSE
ALDW,Alon USA Partners Lp,NYSE
ALE,Allete,NYSE
ALEX,Alexander And Baldwin Inc,NYSE
ALG,Alamo Group,NYSE
ALJ,Alon USA Energy,NYSE
ALK,Alaska Air Group,NYSE
ALL,Allstate Corporation,NYSE
ALL-A,Gmac Capital Trust I Fixed Rate,NYSE
ALL-B,Ally Financial Inc Fixed Rate F,NYSE
ALP-N,Alabama Pwr 5.2A Pfd,NYSE
ALP-O,Alabama Pwr 5.83A Pf,NYSE
ALP-P,Alabama Power 5.30 A,NYSE
ALR,Alere Inc.,NYSE
ALR-B,Alere Inc. inverness Medical In,NYSE
ALSN,Allison Transmission Holdings,NYSE
ALU,Alcatel Lucent,NYSE
ALV,Autoliv,NYSE
ALX,Alexander's,NYSE
AM,American Greetings Corp.,NYSE
AMD,Advanced Micro Devices,NYSE
AME,Amtek,NYSE
AMG,Affiliated Managers Group,NYSE
AMH,American Homes 4 Rent,NYSE
AMID,American Midsteampartners Lp,NYSE
AMP,Ameriprise Financial Services,NYSE
AMP-A,Ameriprise Financial,NYSE
AMRC,Ameresco Inc,NYSE
AMRE,Amreit Inc.,NYSE
AMT,American Tower Corp.,NYSE
AMT-A,Apollo Residential Preferred,NYSE
AMTD,TD Ameritrade Holding Corp.,NYSE
AMTG,Apollo Residential Mortgage In,NYSE
AMX,American Movil S.A.B. De C.V.,NYSE
AN,Autonation,NYSE
ANF,Abercrombie & Fitch Company,NYSE
ANFI,Amira Nature Foods Ltd,NYSE
ANH,Anworth Mortgage Asset Corp.,NYSE
ANH-A,Anworth Mtg Pfd A,NYSE
ANH-B,Anworth 6.25 Pr S B,NYSE
ANN,Ann Inc,NYSE
ANR,Alpha Natural Resources,NYSE
ANW,Aegean Marine Petroleum Network,NYSE
AOD,Alpine Total Dynamic Dividend,NYSE
AOI,Alliance One International,NYSE
AOL,Aol Inc.,NYSE
AON,Aon Plc,NYSE
AOS,Smith [A.O.] Corp.,NYSE
AP,Ampco-Pittsburgh Corp.,NYSE
APA,Apache Corp.,NYSE
APA-D,Apache Corporation,NYSE
APAM,Artisan Partners Asset Manageme,NYSE
APB,Asia Pacific Fund Inc.,NYSE
APC,Anadarko Petroleum Corp.,NYSE
APD,Air Products And Chemicals,NYSE
APF,Morgan Stanley Asia Pacific Fund Inc.,NYSE
APH,Amphenol Corp.,NYSE
APL,Atlas Pipeline Partners L.P.,NYSE
APO,Apollo Global Management LLc C,NYSE
APU,Amerigas Partners L.P.,NYSE
ARB,Arbitron Inc.,NYSE
ARC,American Reprographics Company,NYSE
ARDC,Ares Dynamic Credit Allocation,NYSE
ARE,Alexandria Real Estate Equities,NYSE
ARE-E,Alexandria Real Estate Equite,NYSE
ARG,Airgas,NYSE
ARH-C,Arch Capital Group Ltd. 6.75% P,NYSE
ARI,Apollo Commercial Real Estate,NYSE
ARI-A,Apollo Commercial Real Estate,NYSE
ARK,Senior High Income Portfolio,NYSE
ARL,American Realty Investors,NYSE
ARN,Ares Capital Corporation 7.00%,NYSE
ARO,Aeropostale Inc,NYSE
ARP,Atlas Resource Partners L.P. C,NYSE
ARPI,American Residential Properties,NYSE
ARR,Armour Residential R,NYSE
ARR-A,Armour Residential REIT Inc,NYSE
ARR-B,Armour Residential REIT Inc,NYSE
ARSD,Arabian American Development,NYSE
ARU,Ares Capital Corporation,NYSE
ARW,Arrow Electronics,NYSE
ARX,Aeroflex Holding,NYSE
ARY,Ares Capital Corp.,NYSE
ASA,Asa Gold And Precious Metals,NYSE
ASC,Ardmore Shipping Corporation,NYSE
ASG,Liberty All-Star Growth Fund,NYSE
ASGN,On Assignment,NYSE
ASH,Ashland Inc.,NYSE
ASI,American Safety Insurance Holdings,NYSE
ASP,American Strategic Income Portfolio,NYSE
ASR,Grupo Aeroporuario Del Sureste,NYSE
ASX,Advanced Semiconductor Engineering,NYSE
AT,Atlantic Power Corp.,NYSE
ATE,Advantest Corporation Ads,NYSE
ATHL,Athlon Energy Inc.,NYSE
ATI,Allagheny Technologies Inc.,NYSE
ATK,Alliant Techsystems Inc.,NYSE
ATLS,Atlas Energy Corp.,NYSE
ATO,Atmos Energy Llc,NYSE
ATR,Aptargroup,NYSE
ATU,Actuant Corp.,NYSE
ATV,Acorn International,NYSE
ATW,Atwood Oceanics,NYSE
AU,Anglogold Ashanti Ltd,NYSE
AU-A,Anglogold Ashanti Holdings Fin,NYSE
AUO,Au Optronics Corp,NYSE
AUQ,Aurico Gold Inc,NYSE
AUY,Yamana Gold,NYSE
AV,Aviva Plc,NYSE
AVA,Avista Corp.,NYSE
AVB,Avalonbay Communities,NYSE
AVD,American Vanguard Corp.,NYSE
AVG,Avg Technologies N.V.,NYSE
AVIV,Aviv REIT Inc. Common Stock,NYSE
AVK,Advent Claymore Convertible Securities,NYSE
AVP,Avon Products,NYSE
AVT,Avnet,NYSE
AVV,Aviva Plc,NYSE
AVX,Avx Corp.,NYSE
AVY,Avery Dennison Corp.,NYSE
AWC,Alumina Ltd,NYSE
AWF,Alliance World Dollar Fund II,NYSE
AWH,Allied World Assurance Company,NYSE
AWI,Armstrong World Industries Inc,NYSE
AWK,American Water Works,NYSE
AWP,Alpine Global Premier Propertie,NYSE
AWR,American States Water Company,NYSE
AXE,Anixter International Inc.,NYSE
AXL,American Axle & Manufacturing,NYSE
AXLL,Georgia Gulf Corp.,NYSE
AXP,American Express Company,NYSE
AXR,Amrep Corp.,NYSE
AXS,Axis Capital Holdings,NYSE
AXS-C,Axis Capital Holdings Limited P,NYSE
AXS-D,Axis Capital Holdings Limited,NYSE
AYI,Acuity Brands Inc,NYSE
AYN,Alliance New York Muni,NYSE
AYR,Aircastle Limited,NYSE
AZN,Astrazeneca Plc,NYSE
AZO,Autozone,NYSE
AZZ,Azz Inc.,NYSE
BCA,Corpbanca,NYSE
BCC,Boise Cascade L.L.C. Common ST,NYSE
BCE,Bce,NYSE
BCEI,Bonanza Creek Energy Inc.,NYSE
BCF,Blackrock Real Asset Equity Trust,NYSE
BCH,Banco De Chile,NYSE
BCO,Brink's Company,NYSE
BCR,C.R. Bard,NYSE
BCS,Barclays Plc,NYSE
BCS-A,Barclays Ads,NYSE
BCS-C,Barclays Bank 4 Ads,NYSE
BCS-D,Barclays Bank Plc,NYSE
BCS.P,Barclays Bk ADR Sr 2,NYSE
BCX,Blackrock Resources Common Shar,NYSE
BDC,Belden Inc,NYSE
BDJ,Blackrock Enhanced Dividend Achievers,NYSE
BDN,Brandywine Realty Trust,NYSE
BDN-E,Brandywine Realty Trust,NYSE
BDX,Becton Dickinson And Company,NYSE
BEAM,Beam Inc,NYSE
BEE,Strategic Hotels & Resorts Inc,NYSE
BEE-A,Strategic Hotels A,NYSE
BEE-B,Strategic Hotel Pf B,NYSE
BEE-C,Strategic H&R Srs C,NYSE
BEN,Franklin Resources,NYSE
BEP,Brookfield Renewable,NYSE
BERY,Berry Plastics Group Inc.,NYSE
BF.A,Brown Forman Inc A,NYSE
BF.B,Brown Forman Inc B,NYSE
BFAM,Bright Horizons Family Solutions Inc.,NYSE
BFK,Blackrock Florida Muni 2020 Trust,NYSE
BFR,Bbva Banco Frances S.A.,NYSE
BFS,Saul Centers,NYSE
BFS-A,Saul Ctrs Dep Pfd A,NYSE
BFS-C,Saul Centers Inc,NYSE
BFZ,Blackrock California Muni Trust,NYSE
BG,Bunge Limited,NYSE
BGB,Blackstone / Gso Strategic Cre,NYSE
BGC,General Cable Corp.,NYSE
BGCA,Bgc Partners Inc.,NYSE
BGE-B,Bge Capital Trust II,NYSE
BGG,Briggs & Stratton Corp.,NYSE
BGH,Babson Capital Global Short Du,NYSE
BGR,Blackrock Energy And Resources Trust,NYSE
BGS,B&G Foods Holdings,NYSE
BGT,Blackrock Global,NYSE
BGX,Blacstone Gso Long Short Credit Fund,NYSE
BGY,Blackrock International,NYSE
BH,Biglari Holdings Inc.,NYSE
BHD,Blackrock International,NYSE
BHE,Benchmark Electronics,NYSE
BHI,Baker Hughes Inc.,NYSE
BHK,Blackrock Core Trust,NYSE
BHL,Blackrock Defined Opportunity Trust,NYSE
BHLB,Berkshire Hills Bancorp,NYSE
BHP,Bhp Billiton Limited,NYSE
BHY,Blackrock High Yield Trust,NYSE
BID,Sotheby's Holdings,NYSE
BIE,Blackrock Muni Bond Investment Trust,NYSE
BIF,Uslife Income Fund,NYSE
BIG,Big Lots,NYSE
BIN,Iesi-Bfc Ltd,NYSE
BIO,Bio-Rad Laboratories,NYSE
BIO.B,Bio Rad Labs CI B,NYSE
BIOA,Bioamber Inc.,NYSE
BIP,Brookfield Infrastructure Partners Lp,NYSE
BIT,Blackrock Multi-Sector Income T,NYSE
BITA,Bitauto Holdings Limited,NYSE
BJZ,Blackrock California Muni 2018 Trust,NYSE
BK,Bank Of New York Mellon Corp.,NYSE
BK-C,The Bank Of New York Mellon Co,NYSE
BKD,Brookdale Senior Living Inc.,NYSE
BKE,Buckle,NYSE
BKH,Black Hills Corp.,NYSE
BKI,Buckeye Technologies,NYSE
BKK,Blackrock Muni 2020 Trust,NYSE
BKN,Blackrock Investment Quality Municipal,NYSE
BKS,Barnes & Noble,NYSE
BKT,Blackrock Income Trust Inc.,NYSE
BKU,Bankunited,NYSE
BKW,Burger King Wordwide,NYSE
BLC,Belo Corp.,NYSE
BLH,Blackrock New York Muni 2018 Trust,NYSE
BLK,Blackrock,NYSE
BLL,Ball Corp.,NYSE
BLOX,Infoblox Inc.,NYSE
BLT,Blount International,NYSE
BLW,Blackrock Limited Duration Income Trust,NYSE
BLX,Banco Latinoamericano De Comercio,NYSE
BMA,Banco Macro S.A.,NYSE
BME,Blackrock Health Sciences Trust,NYSE
BMI,Badger Meter,NYSE
BML-G,Bank America Dep G,NYSE
BML-H,Bank America Dep H,NYSE
BML-I,Bank America Dep I,NYSE
BML-L,Bank America Dep L,NYSE
BMO,Bank Of Montreal,NYSE
BMR,Biomed Realty Trust,NYSE
BMS,Bemis Company,NYSE
BMY,Bristol-Myers Squibb Company,NYSE
BNA,Blackrock Income Opportunity Trust Inc.,NYSE
BNJ,Blackrock New Jersey Muni Income Trust,NYSE
BNNY,Annie's Inc.,NYSE
BNS,Bank Of Nova Scotia,NYSE
BNY,Blackrock New York Muni Trust Inc.,NYSE
BOE,Blackrock Global,NYSE
BOH,Bank Of Hawaii Corp.,NYSE
BOI,Brookfield Mortgage Opportunit,NYSE
BORN,China New Borun Corp.,NYSE
BOXC,Brookfield Office Properties C,NYSE
BP,Bp P.L.C.,NYSE
BPI,Bridgepoint Education,NYSE
BPK,Blackrock Muni 2018 Trust,NYSE
BPL,Buckeye Partners L.P.,NYSE
BPO,Brookfield Properties Corp.,NYSE
BPT,Bp Prudhoe Bay Royalty Trust,NYSE
BPY,Brookfield Property Partners L.,NYSE
BPZ,Bpz Resources Inc,NYSE
BQH,Blackrock New York Muni Trust,NYSE
BQR,Blackrock Ecosolutions Investment Trust,NYSE
BR,Broadridge Financial Solutions Llc,NYSE
BRC,Brady Corp.,NYSE
BRE,Bre Properties,NYSE
BRE-D,Bre Pptys Pfd D,NYSE
BRFS,Brf-Brasil Foods S.A.,NYSE
BRK.A,Berkshire Hath Hld A,NYSE
BRK.B,Berkshire Hath Hld B,NYSE
BRO,Brown & Brown,NYSE
BRP,Brookfield Residential Propert,NYSE
BRS,Bristow Group Inc,NYSE
BRSS,Global Brass And Copper Holdin,NYSE
BRT,Brt Realty Trust,NYSE
BRY,Berry Petroleum Company,NYSE
BSAC,Banco Santander-Chile Ads,NYSE
BSBR,Banco Santander Brasil Sa,NYSE
BSD,Blackrock Strategic Muni Trust Inc.,NYSE
BSE,Blackrock New York Muni Income Trust,NYSE
BSI,Alon Holdings - Blue Square Israel Ltd,NYSE
BSL,Blackstone Gso Senior Floating Rate,NYSE
BSMX,Grupo Financiero Santander Mxi,NYSE
BSP,American Strategic Income Portfolio II,NYSE
BSX,Boston Scientific Corp.,NYSE
BT,Bt Group Plc,NYSE
BTA,Blackrock Long-Term Muni Advantage Trust,NYSE
BTE,Baytex Energy Corp,NYSE
BTF,Boulder Total Return Fund,NYSE
BTH,Blyth,NYSE
BTO,John Hancock Bank And Thrift Fund,NYSE
BTT,Blackrock Municipal Target Term,NYSE
BTU,Peabody Energy Corp.,NYSE
BTZ,Blackrock Preferred,NYSE
BUD,Anheuser-Busch Inbev Sa,NYSE
BUI,Blackrock Utility And Infrastr,NYSE
BVN,Compania Mina Beunaventura S.A.,NYSE
BWA,Borgwarner Inc.,NYSE
BWC,Babcock & Wilcox Company,NYSE
BWG,Legg Mason Bw Global Income Op,NYSE
BWP,Boardwalk Pipeline Partners L.P.,NYSE
BXC,Bluelinx Holdings Inc.,NYSE
BXMT,Blackstone Mortgage Trust Inc. CI A,NYSE
BXP,Boston Properties,NYSE
BXP-B,Boston Properties Inc.,NYSE
BXS,Bancorpsouth,NYSE
BXS-A,Bancorpsouth Cp TR I,NYSE
BYD,Boyd Gaming Corp.,NYSE
BYI,Bally Technologies,NYSE
BYM,Blackrock Muni Income Quality Trust,NYSE
BZ,Boise Inc,NYSE
BZH,Beazer Homes USA,NYSE
BZT,Beazer Homes USA Inc. 7.50% Tangible,NYSE
BZU,Beazer Homes USA,NYSE
C,Citigroup Inc.,NYSE
C-C,Citigroup Inc.,NYSE
C-E,Cg Cp Xvii 6.35 Trup,NYSE
C-N,Citigroup Capital XiII,NYSE
C-P,Citigroup Pfd Ser Aa,NYSE
C-Q,Citigrp Cap Vi Trups,NYSE
C-R,Citigroup Cap X,NYSE
C-S,Citigroup Cap Ix 6.0,NYSE
C.A,Citigroup Inc Wrnt 'A',NYSE
C.B,Citigroup Inc Wrnt 'B',NYSE
CAB,Cabela's Inc,NYSE
CACI,Caci International,NYSE
CAE,Cae Inc,NYSE
CAF,Morgan Stanley China A Share Fun Inc.,NYSE
CAG,Conagra Foods,NYSE
CAH,Cardinal Health,NYSE
CAJ,Canon,NYSE
CALX,Calix Inc,NYSE
CAM,Cameron International Corp.,NYSE
CAP,Cai International,NYSE
CAS,Castle [A.M.] & Co.,NYSE
CAT,Caterpillar,NYSE
CATO,Cato Corp.,NYSE
CB,Chubb Corp.,NYSE
CBA,Clearbridge American Energy Ml,NYSE
CBB,Cincinnati Bell Inc,NYSE
CBB-B,Cincinnati Bell Pr B,NYSE
CBD,Companhia Brasileira De Distribuicao,NYSE
CBG,Cbre Group Inc,NYSE
CBI,Chicago Bridge & Iron Company N.V.,NYSE
CBK,Christopher & Banks Corp.,NYSE
CBL,Cbl & Associated Properties,NYSE
CBL-D,Cbl Pfd D,NYSE
CBL-E,Cbl & Associates Properties I,NYSE
CBM,Cambrex Corp.,NYSE
CBO,Cbo [Listing Market - NYSE - Ne,NYSE
CBR,Ciber,NYSE
CBS,Cbs Corp.,NYSE
CBS.A,Cbs Corp.,NYSE
CBT,Cabot Corp.,NYSE
CBU,Communitiy Bank System,NYSE
CBX,Cbx [Listing Market NYSE Networ,NYSE
CBZ,Cbiz,NYSE
CCC,Calgon Carbon Corp.,NYSE
CCE,Coca-Cola Enterprises,NYSE
CCG,Campus Crest Communities,NYSE
CCG-A,Campus Crest Communities Inc.,NYSE
CCH,Coca Cola Hellenic Bottling Co,NYSE
CCI,Crown Castle International Corp.,NYSE
CCJ,Cameco Corp.,NYSE
CCK,Crown Cork & Seal Company,NYSE
CCL,Carnival Corp.,NYSE
CCM,Concord Medical Services,NYSE
CCO,Clear Channel Outdoor Holdings,NYSE
CCSC,Country Style Cooking,NYSE
CCU,Compania Cervecerias Unidas S.A.,NYSE
CCV,Comcast Corporation,NYSE
CCZ,Comcast Corp.,NYSE
CDE,Coeur D'Alene Mines Corp.,NYSE
CDE.W,Coeur D'Alene Mines Corporatio,NYSE
CDI,Cdi Corp.,NYSE
CDR,Cedar Shopping Centers Inc,NYSE
CDR-B,Cedar Realty Trust Inc.,NYSE
CE,Celanese Corp.,NYSE
CEA,China Eastern Airlines Corp Ltd,NYSE
CEB,The Corporate Executive Board Company,NYSE
CEC,Cec Entertainment,NYSE
CEE,Central Europe And Russia Fund,NYSE
CEM,Clearbridge Energy MLP Fund Inc.,NYSE
CEO,Cnoon Limited,NYSE
CF,Cf Industries Holdings,NYSE
CFC-A,Cntrywd Cap IV New,NYSE
CFC-B,Countrywde Cap V New,NYSE
CFI,Culp,NYSE
CFN,Carefusion Corp.,NYSE
CFR,Cullen/Frost Bankers,NYSE
CFR-A,Cullen/Frost Bankers Inc.,NYSE
CFX,Colfax Corp.,NYSE
CGA,China Green Agriculture,NYSE
CGG,Compagnie Generale De Gephysgu,NYSE
CGI,Celadon Group,NYSE
CGX,Consolidated Graphics,NYSE
CHA,China Telecom Corp Ltd,NYSE
CHC,China Hydroelectric Corp.,NYSE
CHC.W,China Hydroelectric Corp,NYSE
CHD,Church & Dwight Company,NYSE
CHE,Chemed,NYSE
CHH,Choice Hotels International,NYSE
CHK,Chesapeake Energy Corp.,NYSE
CHK-D,Chesapeake En Cv Pfd,NYSE
CHKR,Chesapeake Granite Wash Trust,NYSE
CHL,China Mobile [Hong Kong] Ltd,NYSE
CHMT,Chemtura,NYSE
CHN,China Fund,NYSE
CHS,Chico's Fas,NYSE
CHS-A,Chesapeake Lodging Trust 7.75%,NYSE
CHSP,Chesapeake Lodging Trust,NYSE
CHT,Chunghwa Telecom Co Ltd,NYSE
CHU,China Unicom [Honk Kong] Ltd,NYSE
CI,Cigna Corp.,NYSE
CIA,Citizens,NYSE
CIB,Bancolombia S.A.,NYSE
CIE,Cobalt International Energy,NYSE
CIF,Colonial Intermediate High,NYSE
CIG,Comp En De Mn Cemig Ads,NYSE
CIG.C,Comp En De Mn Cemig Ads,NYSE
CII,Blackrock Capital And Income Strategies,NYSE
CIM,Chimera Investment Corp.,NYSE
CIR,Circor International,NYSE
CIS,Camelot Information Systems,NYSE
CIT,Cit Group Inc [Del],NYSE
CJES,C&J Energy Services Inc.,NYSE
CKH,Seacor Smit Inc.,NYSE
CKP,Checkpoint Systms,NYSE
CL,Colgate-Palmolive Company,NYSE
CLB,Core Laboratories N.V.,NYSE
CLC,Clarcor Inc.,NYSE
CLD,Cloud Peak Energy Inc,NYSE
CLDT,Catham Lodging Trust [Reit],NYSE
CLF,Cliffs Natual Resources Inc.,NYSE
CLGX,Corelogic,NYSE
CLH,Clean Harbors,NYSE
CLI,Mack-Cali Realty Corp.,NYSE
CLN-A,Colony Financial Inc.,NYSE
CLNY,Colony Financial Inc.,NYSE
CLP,Colonial Properties Trust,NYSE
CLR,Continental Resources,NYSE
CLS,Celestica,NYSE
CLV,Cliffs Natural Resources Inc. Dep. Pfd.,NYSE
CLW,Clearwater Paper Corp.,NYSE
CLX,Clorox Company,NYSE
CM,Canadian Imperial Bank Of Commerce,NYSE
CMA,Comerica Inc.,NYSE
CMA.W,Comerica Inc.,NYSE
CMC,Commercial Metals Company,NYSE
CMG,Chipotle Mexican Grill,NYSE
CMI,Cummmins Inc.,NYSE
CMK,Colonial Intermarket Income Trust I,NYSE
CMLP,Crestwood Midstream Partners Lp,NYSE
CMN,Cantel Medical,NYSE
CMO,Capstead Mortgage Corp.,NYSE
CMO-E,Capstead Mortgage Corporation,NYSE
CMP,Compass Minerals Intl Inc,NYSE
CMRE,Costamare Inc.,NYSE
CMS,Cms Energy Corp.,NYSE
CMS-B,Consumers Engry 4.50,NYSE
CMU,Colonial Muni Income Trust,NYSE
CAN,Can Financial Corp.,NYSE
CNC,Centene Corp.,NYSE
CNCO,Cencosud S.A.,NYSE
CNH,Cnh Global N.V.,NYSE
CNI,Canadian National Railway Company,NYSE
CNK,Cinemark Holdings Inc,NYSE
CNL,Cleco Power Llc,NYSE
CNO,Cno Financial Group,NYSE
CNP,Centerpoint Energy Inc,NYSE
CNQ,Canadian Natural Resources,NYSE
CNS,Cohn & Steers Inc,NYSE
CNW,Con-Way Inc,NYSE
CNX,Consol Energy Inc.,NYSE
CO,China Cord Blood Corporation.,NYSE
CODE,Spansion Inc,NYSE
CODI,Compass Diversified Holdings,NYSE
COF,Capital One Financial Corp.,NYSE
COF-P,Capital One Financial Corp Pfd,NYSE
COF.W,Capital One Financial Corp,NYSE
COG,Cabot Oil & Gas Corp.,NYSE
COH,Coach,NYSE
COL,Rockwell Collins,NYSE
COLE,Cole Real Estate Investments,NYSE
COO,Cooper Companies,NYSE
COP,Conocophillips,NYSE
COR,Coresite Realty Corp.,NYSE
COR-A,Coresite Realty Corporation,NYSE
CORR,Corenergy Infrastructure Trust Inc,NYSE
COT,Cott Corp,NYSE
COTY,Coty Inc,NYSE
COV,Covidien Plc.,NYSE
COY,Blackrock Corporate High Yield Fund,NYSE
CP,Canadian Pacific Railway,NYSE
CPA,Copa Holdings S.A.,NYSE
CPAC,Cementos Pacasmayo S.A.A.,NYSE
CFB,Campbell Soup Company,NYSE
CPE,Callon Petroleum Company,NYSE
CPE-A,Callon Petroleum Company Prefer,NYSE
CPF,Cpb Inc.,NYSE
CPK,Chesapeake Utilities Corp.,NYSE
CPL,Cpfl Energia S.A.,NYSE
CPN,Calpine Corp.,NYSE
CPT,Camden Property Trust,NYSE
CQB,Chiquita Brands International,NYSE
CR,Crane Company,NYSE
CRD.A,Crawford So Cl A,NYSE
CRD.B,Crawford Co Cl B,NYSE
CRH,Crh Plc,NYSE
CRI,Carter's,NYSE
CRK,Comstock Resources,NYSE
